Step,Direction,PnL,Pips,Reason,Equity
18384,LONG,-7.62,-0.76,Network Exit,9992.38
18788,LONG,3.53,0.35,Network Exit,9995.9
18956,LONG,-12.65,-1.27,Network Exit,9983.25
19101,LONG,-15.57,-1.56,Network Exit,9967.68
19173,LONG,-32.94,-3.29,Network Exit,9934.73
19227,LONG,-14.28,-1.43,Network Exit,9920.45
19260,LONG,-43.27,-4.33,Network Exit,9877.18
19286,LONG,-50.61,-5.06,Network Exit,9826.57
19868,LONG,-19.73,-1.97,Network Exit,9806.84
19955,LONG,16.5,1.65,Network Exit,9823.34
20320,LONG,24.65,2.47,Network Exit,9847.99
20478,LONG,12.76,1.28,Network Exit,9860.75
20709,LONG,64.97,6.5,Network Exit,9925.72
20922,LONG,6.11,0.61,Network Exit,9931.82
21216,LONG,-12.27,-1.23,Network Exit,9919.55
21309,LONG,28.83,2.88,Network Exit,9948.38
21585,LONG,10.35,1.03,Network Exit,9958.73
21676,LONG,-62.56,-6.26,Network Exit,9896.16
21705,LONG,21.87,2.19,Network Exit,9918.03
21795,LONG,-1.11,-0.11,Network Exit,9916.93
21860,LONG,-19.02,-1.9,Network Exit,9897.91
22097,LONG,-69.44,-6.94,Network Exit,9828.47
22348,LONG,29.99,3.0,Network Exit,9858.46
22594,LONG,54.0,5.4,Network Exit,9912.46
22742,LONG,-78.39,-7.84,Network Exit,9834.07
23049,LONG,-34.99,-3.5,Network Exit,9799.08
23333,LONG,42.16,4.22,Network Exit,9841.25
23533,LONG,8.17,0.82,Network Exit,9849.42
24068,LONG,-43.28,-4.33,Network Exit,9806.14
24174,LONG,48.61,4.86,Network Exit,9854.75
24275,LONG,-8.56,-0.86,Network Exit,9846.19
24314,LONG,-76.82,-7.68,Network Exit,9769.36
24371,LONG,-40.51,-4.05,Network Exit,9728.86
24712,LONG,-23.38,-2.34,Network Exit,9705.48
24995,LONG,60.94,6.09,Network Exit,9766.42
25245,LONG,-59.57,-5.96,Network Exit,9706.85
25265,LONG,-33.94,-3.39,Network Exit,9672.91
25524,LONG,-13.33,-1.33,Network Exit,9659.58
25797,LONG,63.6,6.36,Network Exit,9723.18
25886,LONG,21.01,2.1,Network Exit,9744.2
26170,LONG,-31.3,-3.13,Network Exit,9712.89
26350,LONG,-28.12,-2.81,Network Exit,9684.77
26418,LONG,-34.9,-3.49,Network Exit,9649.86
